Name,SKU,Link,Price,Step File
"1102 Series Flat Beam (29 Hole, 232mm Length) - 2 Pack",1102-0029-0232,https://www.gobilda.com/1102-series-flat-beam-29-hole-232mm-length-2-pack/,5.49,https://www.gobilda.com/content/step_files/1102-0029-0232.zip
"1143 Series Mini Low-Side U-Channel (13 Hole, 336mm Length)",1143-0013-0336,https://www.gobilda.com/1143-series-mini-low-side-u-channel-13-hole-336mm-length/,12.59,https://www.gobilda.com/content/step_files/1143-0013-0336.zip
"1121 Series Low-Side U-Channel (11 Hole, 288mm Length)",1121-0011-0288,https://www.gobilda.com/1121-series-low-side-u-channel-11-hole-288mm-length/,12.99,https://www.gobilda.com/content/step_files/1121-0011-0288.zip
"5304 Series Saturn Planetary Gear Motor (50.9:1 Ratio, 80mm Length 8mm REX™ Shaft, 360 RPM, 3.3 - 5V Encoder)",5304-8002-0051,https://www.gobilda.com/5304-series-saturn-planetary-gear-motor-50-9-1-ratio-80mm-length-8mm-rex-shaft-360-rpm-3-3-5v-encoder/,59.99,https://www.gobilda.com/content/step_files/5304-8002-0051.zip
"1143 Series Mini Low-Side U-Channel (12 Hole, 312mm Length)",1143-0012-0312,https://www.gobilda.com/1143-series-mini-low-side-u-channel-12-hole-312mm-length/,11.79,https://www.gobilda.com/content/step_files/1143-0012-0312.zip
"1120 Series U-Channel (7 Hole, 192mm Length)",1120-0007-0192,https://www.gobilda.com/1120-series-u-channel-7-hole-192mm-length/,9.99,https://www.gobilda.com/content/step_files/1120-0007-0192.zip
"1121 Series Low-Side U-Channel (9 Hole, 240mm Length)",1121-0009-0240,https://www.gobilda.com/1121-series-low-side-u-channel-9-hole-240mm-length/,10.99,https://www.gobilda.com/content/step_files/1121-0009-0240.zip
"1102 Series Flat Beam (23 Hole, 184mm Length) - 2 Pack",1102-0023-0184,https://www.gobilda.com/1102-series-flat-beam-23-hole-184mm-length-2-pack/,4.69,https://www.gobilda.com/content/step_files/1102-0023-0184.zip
"1143 Series Mini Low-Side U-Channel (11 Hole, 288mm Length)",1143-0011-0288,https://www.gobilda.com/1143-series-mini-low-side-u-channel-11-hole-288mm-length/,10.99,https://www.gobilda.com/content/step_files/1143-0011-0288.zip
"5103 Series Planetary Gearbox (188:1 Ratio, 24mm Length 8mm REX Shaft)",5103-0024-0188,https://www.gobilda.com/5103-series-planetary-gearbox-188-1-ratio-24mm-length-8mm-rex-shaft/,34.99,N/A
